,Fengyuan,Taichung,Changhua,Yuanlin
Fengyuan,--,0.915088204,1.245630878,1.431542475
Taichung,0.896335321,--,0.979091098,1.240582791
Changhua,1.358857079,1.145825547,--,0.691786296
Yuanlin,1.545022579,1.303502098,0.833991229,--
