,Fengyuan,Taiyuan,Taichung,Xinwuri,Chenggong,Changhua,Yuanlin
Fengyuan,--,1.34667336819072,1.68859513255610,1.91101951884116,1.98571232490338,2.14387668750970,2.07096168802770
Taiyuan,1.01152431551592,--,1.56371983283810,1.89721218958506,1.93901233697717,2.17955373552255,2.44318460424815
Taichung,1.23815430923720,1.01005791756533,--,1.11730054019083,1.20413479642742,1.48447064682707,1.86382631312041
Xinwuri,1.65273630206809,1.55284737719413,1.19111948074017,--,0.645505032257341,1.24458682130212,1.88751407627364
Chenggong,1.47233173741188,1.34106540346644,1.25567393222426,1.07470002509883,--,1.21047726055776,1.90250666491720
Changhua,1.70066879462530,1.54898367158534,1.46686790636315,1.17067847685515,0.766145678631600,--,1.46681767373590
Yuanlin,1.61611470921693,1.55302351002834,1.46775950572625,1.46717198128368,1.30403261182946,1.31497946191777,--
