,Fengyuan,Taichung,Changhua,Yuanlin
Fengyuan,--,1.021837221,1.460960863,1.752501295
Taichung,0.904954889,--,1.0723947,1.391648949
Changhua,1.377190454,1.07402604,--,0.853565332
Yuanlin,1.550884726,1.233320043,0.904443106,--
