,Fengyuan,Taiyuan,Taichung,Xinwuri,Chenggong,Changhua,Yuanlin
Fengyuan,--,1.42562293387565,1.91873570796672,2.22726975782353,2.18178081135341,2.25911926146925,2.32674509420625
Taiyuan,1.09288187559240,--,1.55206129220445,1.95631039812745,1.96841668369254,2.17192525082709,2.35682356453242
Taichung,1.35913102947009,1.06184695601346,--,1.20689458068339,1.45884835667879,1.54193457427324,1.75880224058444
Xinwuri,1.52244697372518,1.27498557174121,1.11352563087471,--,1.06727720675550,1.29519586471032,1.67610927184063
Chenggong,1.70153445456968,1.55219204622015,1.57716287400507,1.33122799143914,--,1.23002325219734,1.69243777851725
Changhua,1.68659140662251,1.52864958036807,1.64732950284069,1.37819853399774,0.771359527437672,--,1.25048465680103
Yuanlin,1.90901231674881,1.66562189988477,1.83965895211552,1.61989872001464,1.40657709979277,1.32260515402818,--
