,Fengyuan,Taiyuan,Taichung,Xinwuri,Chenggong,Changhua,Yuanlin
Fengyuan,--,1.31350913265002,1.68213993824868,1.66949294112597,1.88233590826966,1.92064818522987,1.86145594755792
Taiyuan,0.890366547492208,--,1.44242933384429,1.44298719016077,1.64609585697533,1.71894235514938,1.98657084889124
Taichung,1.08614064881073,0.649963100977926,--,0.761610836358688,1.14593517668835,0.937801671339783,1.24023926321852
Xinwuri,1.23583307402150,0.890374341724732,1.05007634103657,--,0.982665794754287,0.856026753645623,1.18794821194683
Chenggong,1.45468183233042,1.24900529515299,1.53801471972935,1.33070399847353,--,0.830589585692274,1.15940442674876
Changhua,1.60443917889215,1.31148695904661,1.69766887702905,1.39268833949741,0.846844794250190,--,0.897936469834206
Yuanlin,1.48610591809329,1.16422267221571,1.69599845660674,1.30863871255467,1.12076059173895,0.899450981869945,--
