Station,direction,id,date,time,num,dest,delay,type
1,Fengyuan,backward,2,weekday,to_work,2103,Chiayi,short_delay,4
2,Fengyuan,backward,3,weekday,to_work,3157,Chaozhou,short_delay,4
4,Fengyuan,backward,5,weekday,to_work,2113,Chiayi,short_delay,4
6,Fengyuan,backward,7,weekday,to_work,3167,Chaozhou,short_delay,4
7,Fengyuan,backward,8,weekday,to_work,2011,Changhua,short_delay,4
9,Fengyuan,backward,10,weekday,to_work,2123,Chiayi,short_delay,4
11,Fengyuan,backward,12,weekday,to_work,3177,Chaozhou,short_delay,4
12,Fengyuan,backward,13,weekday,to_work,2131,Changhua,short_delay,4
15,Fengyuan,backward,16,weekday,not_commuting_time,3187,Chaozhou,short_delay,4
18,Fengyuan,backward,19,weekday,not_commuting_time,3197,Chaozhou,short_delay,4
21,Fengyuan,backward,22,weekday,not_commuting_time,115,Pingtung,short_delay,2
23,Fengyuan,backward,24,weekday,not_commuting_time,2163,Chiayi,short_delay,4
24,Fengyuan,backward,25,weekday,not_commuting_time,117,Chaozhou,long_delay,2
25,Fengyuan,backward,26,weekday,not_commuting_time,2613,Fengyuan,short_delay,4
27,Fengyuan,backward,28,weekday,not_commuting_time,2173,Chiayi,long_delay,4
28,Fengyuan,backward,29,weekday,not_commuting_time,121,Pingtung,short_delay,2
30,Fengyuan,backward,31,weekday,not_commuting_time,3227,Chaozhou,short_delay,4
33,Fengyuan,backward,34,weekday,not_commuting_time,271,Changhua,long_delay,1
34,Fengyuan,backward,35,weekday,not_commuting_time,3237,Chaozhou,short_delay,4
36,Fengyuan,backward,37,weekday,not_commuting_time,2191,Changhua,long_delay,4
37,Fengyuan,backward,38,weekday,not_commuting_time,125,Pingtung,short_delay,2
38,Fengyuan,backward,39,weekday,not_commuting_time,2193,Chiayi,short_delay,4
41,Fengyuan,backward,42,weekday,not_commuting_time,2203,Chiayi,short_delay,4
45,Fengyuan,backward,46,weekday,not_commuting_time,2213,Chiayi,short_delay,4
47,Fengyuan,backward,48,weekday,off_work,135,Pingtung,long_delay,2
48,Fengyuan,backward,49,weekday,off_work,273,Changhua,long_delay,1
50,Fengyuan,backward,51,weekday,off_work,3267,Chaozhou,long_delay,4
52,Fengyuan,backward,53,weekday,off_work,2623,Fengyuan,short_delay,4
53,Fengyuan,backward,54,weekday,off_work,175,Chaozhou,long_delay,2
55,Fengyuan,backward,56,weekday,off_work,2233,Chiayi,long_delay,4
56,Fengyuan,backward,57,weekday,off_work,139,Chaozhou,short_delay,2
