Station,direction,id,date,time,num,dest,delay,type
14586,Taiyuan,backward,1,weekday,not_commuting_time,3147,Chaozhou,no_delay,4
14587,Taiyuan,backward,2,weekday,to_work,2103,Chiayi,short_delay,4
14588,Taiyuan,backward,3,weekday,to_work,2601,Fengyuan,no_delay,4
14589,Taiyuan,backward,4,weekday,to_work,3157,Chaozhou,no_delay,4
14590,Taiyuan,backward,5,weekday,to_work,2113,Chiayi,short_delay,4
14591,Taiyuan,backward,6,weekday,to_work,2603,Fengyuan,no_delay,4
14592,Taiyuan,backward,7,weekday,to_work,2115,Changhua,no_delay,4
14593,Taiyuan,backward,8,weekday,to_work,3167,Chaozhou,short_delay,4
14594,Taiyuan,backward,9,weekday,to_work,2607,Fengyuan,no_delay,4
14595,Taiyuan,backward,10,weekday,to_work,2123,Chiayi,short_delay,4
14596,Taiyuan,backward,11,weekday,to_work,3177,Chaozhou,short_delay,4
14597,Taiyuan,backward,12,weekday,not_commuting_time,2131,Changhua,no_delay,4
14598,Taiyuan,backward,13,weekday,not_commuting_time,2133,Chiayi,no_delay,4
14599,Taiyuan,backward,14,weekday,not_commuting_time,3187,Chaozhou,short_delay,4
14600,Taiyuan,backward,15,weekday,not_commuting_time,2143,Chiayi,no_delay,4
14601,Taiyuan,backward,16,weekday,not_commuting_time,2611,Fengyuan,no_delay,4
14602,Taiyuan,backward,17,weekday,not_commuting_time,3197,Chaozhou,no_delay,4
14603,Taiyuan,backward,18,weekday,not_commuting_time,2153,Chiayi,short_delay,4
14604,Taiyuan,backward,19,weekday,not_commuting_time,3207,Pingtung,no_delay,4
14605,Taiyuan,backward,20,weekday,not_commuting_time,2163,Chiayi,short_delay,4
14606,Taiyuan,backward,21,weekday,not_commuting_time,2613,Fengyuan,short_delay,4
14607,Taiyuan,backward,22,weekday,not_commuting_time,3217,Chaozhou,no_delay,4
14608,Taiyuan,backward,23,weekday,not_commuting_time,2615,Fengyuan,no_delay,4
14609,Taiyuan,backward,24,weekday,not_commuting_time,2173,Chiayi,long_delay,4
14610,Taiyuan,backward,25,weekday,not_commuting_time,3227,Chaozhou,short_delay,4
14611,Taiyuan,backward,26,weekday,not_commuting_time,2183,Chiayi,no_delay,4
14612,Taiyuan,backward,27,weekday,not_commuting_time,2617,Fengyuan,no_delay,4
14613,Taiyuan,backward,28,weekday,not_commuting_time,3237,Chaozhou,short_delay,4
14614,Taiyuan,backward,29,weekday,not_commuting_time,2191,Changhua,short_delay,4
14615,Taiyuan,backward,30,weekday,not_commuting_time,2193,Chiayi,short_delay,4
14616,Taiyuan,backward,31,weekday,not_commuting_time,3247,Chaozhou,no_delay,4
14617,Taiyuan,backward,32,weekday,not_commuting_time,2619,Miaoli,no_delay,4
14618,Taiyuan,backward,33,weekday,not_commuting_time,2203,Chiayi,no_delay,4
14619,Taiyuan,backward,34,weekday,not_commuting_time,2621,Fengyuan,no_delay,4
14620,Taiyuan,backward,35,weekday,not_commuting_time,3257,Chaozhou,no_delay,4
14621,Taiyuan,backward,36,weekday,off_work,2213,Chiayi,long_delay,4
14622,Taiyuan,backward,37,weekday,off_work,2021,Changhua,short_delay,4
14623,Taiyuan,backward,38,weekday,off_work,3267,Chaozhou,long_delay,4
14624,Taiyuan,backward,39,weekday,off_work,2623,Fengyuan,short_delay,4
14625,Taiyuan,backward,40,weekday,off_work,3277,Chaozhou,no_delay,4
14626,Taiyuan,backward,41,weekday,off_work,2223,Chiayi,no_delay,4
14627,Taiyuan,backward,42,weekday,off_work,2233,Chiayi,long_delay,4
14628,Taiyuan,backward,43,weekday,off_work,3287,Pingtung,no_delay,4
14629,Taiyuan,backward,44,weekday,off_work,2627,Fengyuan,short_delay,4
